episodes,actors,value,movie,tv,people
23,3,0,,,
23,4,1,The Fifth Element (1997),,
23,5,0,,,
23,6,2,Saving Private Ryan (1998) ,Cheers (1982),
23,7,0,,,
24,1,3,"Raiders of the Lost Ark (1981), The Sisterhood of the Traveling Pants (2005) ",, Paul Giamatti
24,2,1,,The Wire (2002),
24,3,1,Avatar (2009) ,,
24,4,0,,,
24,5,1,Good Will Hunting (1997),,
24,6,0,,,
24,7,0,,,
25,1,1,Dead Poets Society (1989) ,,
25,2,1,,Star Trek: The Next Generation (1987),
25,3,0,,,
25,4,0,,,
25,5,2,"Happy Days (1974), Fatal Attraction (1987)",,
25,6,0,,,
25,7,1,Rainman (1988),"""""",""""""
